"日付け","終値","始値","高値","安値","前日比%"
"2021年04月29日","108.91","108.60","109.23","108.43","0.29%"
"2021年04月28日","108.59","108.74","109.08","108.57","-0.08%"
"2021年04月27日","108.68","108.07","108.78","108.07","0.56%"
"2021年04月26日","108.08","107.99","108.21","107.64","0.16%"
"2021年04月23日","107.91","107.96","108.15","107.47","-0.05%"
"2021年04月22日","107.96","108.07","108.24","107.81","-0.08%"
"2021年04月21日","108.05","108.10","108.29","107.88","-0.03%"
"2021年04月20日","108.08","108.15","108.55","107.96","-0.06%"
"2021年04月19日","108.15","108.78","108.84","108.01","-0.57%"
"2021年04月16日","108.77","108.78","108.97","108.61","0.03%"
"2021年04月15日","108.74","108.92","108.99","108.61","-0.16%"
"2021年04月14日","108.91","109.07","109.10","108.75","-0.13%"
"2021年04月13日","109.05","109.38","109.76","109.01","-0.29%"
"2021年04月12日","109.37","109.68","109.78","109.24","-0.26%"
"2021年04月09日","109.65","109.25","109.96","109.20","0.38%"
"2021年04月08日","109.24","109.86","109.91","109.00","-0.55%"
"2021年04月07日","109.84","109.75","109.96","109.57","0.09%"
"2021年04月06日","109.74","110.17","110.57","109.67","-0.39%"
"2021年04月05日","110.17","110.63","110.75","109.96","-0.49%"
"2021年04月02日","110.71","110.63","110.75","110.36","0.10%"
"2021年04月01日","110.60","110.75","110.86","110.54","-0.09%"
"2021年03月31日","110.70","110.36","110.97","110.26","0.33%"
"2021年03月30日","110.34","109.79","110.43","109.75","0.51%"
"2021年03月29日","109.78","109.65","109.86","109.37","0.13%"
"2021年03月26日","109.64","109.18","109.86","109.13","0.43%"
"2021年03月25日","109.17","108.74","109.24","108.71","0.41%"
"2021年03月24日","108.72","108.59","108.96","108.44","0.15%"
"2021年03月23日","108.56","108.85","108.89","108.40","-0.25%"
"2021年03月22日","108.83","108.86","108.96","108.51","-0.04%"
"2021年03月19日","108.87","108.89","109.13","108.61","-0.01%"
"2021年03月18日","108.88","108.85","109.31","108.63","0.05%"
"2021年03月17日","108.83","109.00","109.33","108.75","-0.14%"
"2021年03月16日","108.98","109.13","109.29","108.77","-0.13%"
"2021年03月15日","109.12","109.07","109.37","108.91","0.11%"
"2021年03月12日","109.00","108.50","109.17","108.49","0.47%"
"2021年03月11日","108.49","108.38","108.82","108.36","0.10%"
"2021年03月10日","108.38","108.47","108.93","108.33","-0.07%"
"2021年03月09日","108.46","108.89","109.25","108.41","-0.37%"
"2021年03月08日","108.86","108.40","108.95","108.31","0.48%"
"2021年03月05日","108.34","107.97","108.64","107.82","0.34%"
"2021年03月04日","107.97","107.00","107.99","106.96","0.92%"
"2021年03月03日","106.99","106.68","107.16","106.68","0.30%"
"2021年03月02日","106.67","106.76","106.96","106.67","-0.07%"
"2021年03月01日","106.75","106.57","106.89","106.36","0.16%"
"2021年02月26日","106.58","106.22","106.70","105.85","0.35%"
"2021年02月25日","106.21","105.89","106.41","105.83","0.33%"
"2021年02月24日","105.86","105.25","106.11","105.18","0.59%"
"2021年02月23日","105.24","105.07","105.43","104.92","0.17%"
"2021年02月22日","105.06","105.42","105.85","104.98","-0.35%"
"2021年02月19日","105.43","105.69","105.75","105.24","-0.22%"
"2021年02月18日","105.66","105.88","105.93","105.60","-0.18%"
"2021年02月17日","105.85","106.04","106.22","105.78","-0.18%"
"2021年02月16日","106.04","105.39","106.07","105.18","0.65%"
"2021年02月15日","105.36","105.00","105.43","104.93","0.41%"
"2021年02月12日","104.93","104.75","105.19","104.72","0.20%"
"2021年02月11日","104.72","104.58","104.81","104.55","0.14%"
"2021年02月10日","104.57","104.60","104.85","104.41","0.00%"
"2021年02月09日","104.57","105.22","105.28","104.50","-0.62%"
"2021年02月08日","105.22","105.39","105.68","105.15","-0.13%"
"2021年02月05日","105.36","105.53","105.78","105.33","-0.17%"
"2021年02月04日","105.54","105.02","105.57","104.97","0.50%"
"2021年02月03日","105.01","104.97","105.11","104.92","0.04%"
"2021年02月02日","104.97","104.93","105.18","104.82","0.06%"
"2021年02月01日","104.91","104.68","105.04","104.61","0.22%"
"2021年01月29日","104.68","104.24","104.95","104.21","0.45%"
"2021年01月28日","104.21","104.11","104.47","104.06","0.12%"
"2021年01月27日","104.09","103.62","104.21","103.58","0.47%"
"2021年01月26日","103.60","103.74","103.83","103.55","-0.13%"
"2021年01月25日","103.73","103.79","103.94","103.67","-0.04%"
"2021年01月22日","103.77","103.50","103.89","103.47","0.28%"
"2021年01月21日","103.48","103.54","103.67","103.32","-0.04%"
"2021年01月20日","103.52","103.90","103.95","103.44","-0.36%"
"2021年01月19日","103.89","103.68","104.10","103.65","0.19%"
"2021年01月18日","103.69","103.76","103.94","103.63","-0.17%"
"2021年01月15日","103.87","103.81","103.92","103.61","0.08%"
"2021年01月14日","103.79","103.89","104.21","103.56","-0.06%"
"2021年01月13日","103.85","103.75","104.00","103.53","0.10%"
"2021年01月12日","103.75","104.28","104.35","103.72","-0.47%"
"2021年01月11日","104.24","103.89","104.40","103.83","0.30%"
"2021年01月08日","103.93","103.79","104.10","103.61","0.13%"
"2021年01月07日","103.80","103.04","103.96","102.95","0.74%"
"2021年01月06日","103.04","102.75","103.45","102.58","0.31%"
"2021年01月05日","102.72","103.13","103.19","102.60","-0.37%"
"2021年01月04日","103.10","103.18","103.32","102.71","-0.10%"
"2021年01月01日","103.20","103.25","103.25","103.21","-0.04%"
"2020年12月31日","103.24","103.18","103.32","102.99","0.07%"
"2020年12月30日","103.17","103.58","103.61","102.96","-0.38%"
"2020年12月29日","103.56","103.79","103.85","103.46","-0.21%"
"2020年12月28日","103.78","103.54","103.90","103.39","0.29%"
"2020年12月25日","103.48","103.64","103.69","103.39","-0.14%"
"2020年12月24日","103.63","103.57","103.77","103.50","0.08%"
"2020年12月23日","103.55","103.64","103.66","103.36","-0.08%"
"2020年12月22日","103.63","103.32","103.75","103.28","0.32%"
"2020年12月21日","103.30","103.39","103.89","103.25","-0.01%"
"2020年12月18日","103.31","103.13","103.60","103.10","0.20%"
"2020年12月17日","103.10","103.50","103.57","102.88","-0.37%"
"2020年12月16日","103.48","103.67","103.92","103.26","-0.17%"
"2020年12月15日","103.66","104.04","104.15","103.60","-0.36%"
"2020年12月14日","104.03","104.00","104.11","103.51","0.02%"
"2020年12月11日","104.01","104.21","104.29","103.82","-0.18%"
"2020年12月10日","104.20","104.24","104.59","104.17","-0.01%"
"2020年12月09日","104.21","104.17","104.42","104.05","0.06%"
"2020年12月08日","104.15","104.06","104.22","103.95","0.09%"
"2020年12月07日","104.06","104.14","104.32","103.92","-0.08%"
"2020年12月04日","104.14","103.85","104.25","103.74","0.30%"
"2020年12月03日","103.83","104.39","104.54","103.67","-0.55%"
"2020年12月02日","104.40","104.32","104.76","104.22","0.10%"
"2020年12月01日","104.30","104.32","104.59","104.18","0.03%"
"2020年11月30日","104.27","104.07","104.42","103.82","0.16%"
"2020年11月27日","104.10","104.27","104.29","103.90","-0.14%"
"2020年11月26日","104.25","104.46","104.49","104.21","-0.19%"
"2020年11月25日","104.45","104.43","104.61","104.25","0.02%"
"2020年11月24日","104.43","104.56","104.77","104.14","-0.11%"
"2020年11月23日","104.54","103.86","104.65","103.68","0.66%"
"2020年11月20日","103.85","103.74","103.92","103.70","0.13%"
"2020年11月19日","103.72","103.82","104.22","103.71","-0.11%"
"2020年11月18日","103.83","104.21","104.22","103.64","-0.33%"
"2020年11月17日","104.17","104.58","104.63","104.07","-0.37%"
"2020年11月16日","104.56","104.89","105.14","104.36","-0.06%"
"2020年11月13日","104.62","105.14","105.17","104.56","-0.48%"
"2020年11月12日","105.12","105.43","105.49","105.07","-0.28%"
"2020年11月11日","105.42","105.31","105.69","105.00","0.13%"
"2020年11月10日","105.28","105.38","105.50","104.79","-0.08%"
"2020年11月09日","105.36","103.35","105.66","103.19","1.96%"
"2020年11月06日","103.33","103.51","103.77","103.17","-0.14%"
"2020年11月05日","103.47","104.52","104.57","103.44","-0.97%"
"2020年11月04日","104.48","104.47","105.35","104.14","0.02%"
"2020年11月03日","104.46","104.72","104.82","104.43","-0.24%"
"2020年11月02日","104.71","104.57","104.96","104.54","0.07%"
"2020年10月30日","104.64","104.64","104.75","104.12","0.03%"
"2020年10月29日","104.61","104.36","104.74","104.03","0.31%"
"2020年10月28日","104.29","104.42","104.57","104.11","-0.11%"
"2020年10月27日","104.40","104.83","104.90","104.39","-0.40%"
"2020年10月26日","104.82","104.75","105.07","104.64","0.12%"
"2020年10月23日","104.69","104.85","104.94","104.54","-0.12%"
"2020年10月22日","104.82","104.59","104.93","104.46","0.25%"
"2020年10月21日","104.56","105.50","105.53","104.33","-0.88%"
"2020年10月20日","105.49","105.43","105.75","105.39","0.07%"
"2020年10月19日","105.42","105.39","105.51","105.29","0.02%"
"2020年10月16日","105.40","105.46","105.46","105.18","-0.04%"
"2020年10月15日","105.44","105.14","105.50","105.09","0.28%"
"2020年10月14日","105.15","105.48","105.53","105.04","-0.30%"
"2020年10月13日","105.47","105.33","105.64","105.28","0.16%"
"2020年10月12日","105.30","105.71","105.89","105.24","-0.27%"
"2020年10月09日","105.59","106.03","106.05","105.57","-0.40%"
"2020年10月08日","106.01","105.96","106.11","105.92","0.05%"
"2020年10月07日","105.96","105.64","106.12","105.60","0.32%"
"2020年10月06日","105.62","105.74","105.79","105.46","-0.09%"
"2020年10月05日","105.72","105.29","105.81","105.29","0.37%"
"2020年10月02日","105.33","105.53","105.68","104.93","-0.16%"
"2020年10月01日","105.50","105.46","105.75","105.40","0.05%"
"2020年09月30日","105.45","105.64","105.81","105.40","-0.18%"
"2020年09月29日","105.64","105.50","105.75","105.34","0.14%"
"2020年09月28日","105.49","105.51","105.69","105.26","-0.10%"
"2020年09月25日","105.60","105.42","105.71","105.24","0.19%"
"2020年09月24日","105.40","105.40","105.54","105.20","0.03%"
"2020年09月23日","105.37","104.93","105.50","104.89","0.44%"
"2020年09月22日","104.91","104.65","105.09","104.40","0.26%"
"2020年09月21日","104.64","104.44","104.84","104.00","0.09%"
"2020年09月18日","104.55","104.75","104.88","104.26","-0.17%"
"2020年09月17日","104.73","104.95","105.18","104.52","-0.20%"
"2020年09月16日","104.94","105.44","105.45","104.79","-0.46%"
"2020年09月15日","105.43","105.72","105.83","105.29","-0.27%"
"2020年09月14日","105.72","106.17","106.21","105.54","-0.40%"
"2020年09月11日","106.14","106.13","106.28","106.06","0.01%"
"2020年09月10日","106.13","106.21","106.31","105.98","-0.04%"
"2020年09月09日","106.17","106.04","106.29","105.78","0.15%"
"2020年09月08日","106.01","106.29","106.39","105.86","-0.23%"
"2020年09月07日","106.25","106.28","106.39","106.13","0.02%"
"2020年09月04日","106.23","106.19","106.51","106.06","0.06%"
"2020年09月03日","106.17","106.18","106.57","106.00","-0.01%"
"2020年09月02日","106.18","105.96","106.32","105.85","0.22%"
"2020年09月01日","105.95","105.93","106.16","105.59","0.06%"
"2020年08月31日","105.89","105.36","106.10","105.29","0.52%"
"2020年08月28日","105.34","106.57","106.96","105.19","-1.14%"
"2020年08月27日","106.55","105.99","106.71","105.61","0.54%"
"2020年08月26日","105.98","106.39","106.56","105.95","-0.36%"
"2020年08月25日","106.36","105.98","106.59","105.86","0.37%"
"2020年08月24日","105.97","105.86","106.01","105.69","0.18%"
"2020年08月21日","105.78","105.79","106.08","105.43","-0.01%"
"2020年08月20日","105.79","106.11","106.22","105.74","-0.29%"
"2020年08月19日","106.10","105.41","106.15","105.10","0.65%"
"2020年08月18日","105.42","106.00","106.07","105.28","-0.54%"
"2020年08月17日","105.99","106.63","106.67","105.94","-0.56%"
"2020年08月14日","106.59","106.90","107.04","106.43","-0.31%"
"2020年08月13日","106.92","106.89","107.06","106.56","0.03%"
"2020年08月12日","106.89","106.51","107.03","106.44","0.39%"
"2020年08月11日","106.48","105.96","106.70","105.92","0.50%"
"2020年08月10日","105.95","105.96","106.21","105.71","0.04%"
"2020年08月07日","105.91","105.51","106.07","105.47","0.35%"
"2020年08月06日","105.54","105.57","105.71","105.29","-0.03%"
"2020年08月05日","105.57","105.72","105.89","105.32","-0.12%"
"2020年08月04日","105.70","105.96","106.21","105.64","-0.23%"
"2020年08月03日","105.94","105.89","106.48","105.57","0.06%"
"2020年07月31日","105.88","104.71","106.07","104.18","1.11%"
"2020年07月30日","104.72","104.92","105.31","104.68","-0.18%"
"2020年07月29日","104.91","105.06","105.25","104.76","-0.16%"
"2020年07月28日","105.08","105.36","105.70","104.95","-0.28%"
"2020年07月27日","105.37","105.97","106.21","105.11","-0.71%"
"2020年07月24日","106.12","106.86","106.92","105.68","-0.68%"
"2020年07月23日","106.85","107.15","107.24","106.71","-0.27%"
"2020年07月22日","107.14","106.78","107.29","106.71","0.36%"
"2020年07月21日","106.76","107.26","107.38","106.68","-0.45%"
"2020年07月20日","107.24","107.11","107.53","107.01","0.23%"
"2020年07月17日","106.99","107.26","107.37","106.93","-0.25%"
"2020年07月16日","107.26","106.93","107.41","106.83","0.32%"
"2020年07月15日","106.92","107.23","107.32","106.66","-0.29%"
"2020年07月14日","107.23","107.29","107.44","107.11","-0.03%"
"2020年07月13日","107.26","106.90","107.33","106.78","0.35%"
"2020年07月10日","106.89","107.21","107.27","106.64","-0.28%"
"2020年07月09日","107.19","107.31","107.41","107.10","-0.06%"
"2020年07月08日","107.25","107.52","107.71","107.19","-0.24%"
"2020年07月07日","107.51","107.35","107.80","107.24","0.15%"
"2020年07月06日","107.35","107.50","107.78","107.25","-0.14%"
"2020年07月03日","107.50","107.50","107.58","107.43","0.02%"
"2020年07月02日","107.48","107.47","107.74","107.33","0.02%"
"2020年07月01日","107.46","107.93","108.17","107.36","-0.43%"
"2020年06月30日","107.92","107.57","108.00","107.52","0.33%"
"2020年06月29日","107.56","107.19","107.89","107.04","0.33%"
"2020年06月26日","107.21","107.24","107.37","106.79","0.02%"
"2020年06月25日","107.19","107.06","107.46","106.99","0.16%"
"2020年06月24日","107.02","106.52","107.08","106.38","0.48%"
"2020年06月23日","106.51","106.91","107.23","106.07","-0.34%"
"2020年06月22日","106.87","106.90","107.02","106.76","0.00%"
"2020年06月19日","106.87","106.97","107.07","106.76","-0.08%"
"2020年06月18日","106.96","107.00","107.14","106.67","-0.04%"
"2020年06月17日","107.00","107.35","107.46","106.95","-0.30%"
"2020年06月16日","107.32","107.33","107.64","107.21","0.01%"
"2020年06月15日","107.31","107.33","107.58","107.00","-0.03%"
"2020年06月12日","107.34","106.88","107.56","106.58","0.46%"
"2020年06月11日","106.85","107.13","107.24","106.57","-0.22%"
"2020年06月10日","107.09","107.72","107.89","106.99","-0.58%"
"2020年06月09日","107.72","108.44","108.55","107.61","-0.65%"
"2020年06月08日","108.42","109.68","109.70","108.24","-1.06%"
"2020年06月05日","109.58","109.14","109.86","109.04","0.41%"
"2020年06月04日","109.13","108.89","109.20","108.61","0.22%"
"2020年06月03日","108.89","108.68","109.00","108.42","0.21%"
"2020年06月02日","108.66","107.59","108.78","107.50","1.00%"
"2020年06月01日","107.58","107.74","107.86","107.38","-0.18%"
"2020年05月29日","107.77","107.67","107.90","107.07","0.13%"
"2020年05月28日","107.63","107.72","107.90","107.57","-0.07%"
"2020年05月27日","107.71","107.54","107.96","107.36","0.18%"
"2020年05月26日","107.52","107.71","107.93","107.40","-0.16%"
"2020年05月25日","107.69","107.58","107.79","107.56","0.07%"
"2020年05月22日","107.61","107.61","107.77","107.32","0.00%"
"2020年05月21日","107.61","107.50","107.86","107.47","0.09%"
"2020年05月20日","107.51","107.71","107.99","107.33","-0.16%"
"2020年05月19日","107.68","107.32","108.09","107.29","0.33%"
"2020年05月18日","107.33","107.08","107.51","107.04","0.29%"
"2020年05月15日","107.02","107.25","107.44","106.85","-0.21%"
"2020年05月14日","107.24","107.04","107.38","106.77","0.21%"
"2020年05月13日","107.02","107.11","107.28","106.74","-0.10%"
"2020年05月12日","107.13","107.68","107.71","107.12","-0.49%"
"2020年05月11日","107.66","106.64","107.78","106.54","0.95%"
"2020年05月08日","106.65","106.29","106.75","106.22","0.36%"
"2020年05月07日","106.27","106.11","106.67","105.99","0.12%"
"2020年05月06日","106.14","106.61","106.64","105.98","-0.41%"
"2020年05月05日","106.58","106.78","106.91","106.42","-0.14%"
"2020年05月04日","106.73","106.82","107.08","106.63","-0.19%"
"2020年05月01日","106.93","107.18","107.41","106.60","-0.22%"
"2020年04月30日","107.17","106.71","107.51","106.40","0.44%"
"2020年04月29日","106.70","106.88","106.90","106.36","-0.15%"
"2020年04月28日","106.86","107.22","107.35","106.56","-0.34%"
"2020年04月27日","107.22","107.49","107.64","106.99","-0.26%"
"2020年04月24日","107.50","107.58","107.76","107.37","-0.07%"
"2020年04月23日","107.58","107.76","108.04","107.34","-0.13%"
"2020年04月22日","107.72","107.82","107.94","107.51","-0.04%"
"2020年04月21日","107.76","107.63","107.90","107.28","0.14%"
"2020年04月20日","107.61","107.57","107.96","107.49","0.09%"
"2020年04月17日","107.51","107.96","108.08","107.30","-0.40%"
"2020年04月16日","107.94","107.49","108.10","107.17","0.44%"
"2020年04月15日","107.47","107.21","107.86","106.93","0.25%"
"2020年04月14日","107.20","107.78","107.81","106.97","-0.52%"
"2020年04月13日","107.76","108.54","108.54","107.50","-0.65%"
"2020年04月10日","108.46","108.54","108.61","108.32","0.00%"
"2020年04月09日","108.46","108.82","109.07","108.21","-0.32%"
"2020年04月08日","108.81","108.71","109.11","108.50","0.10%"
"2020年04月07日","108.70","109.24","109.29","108.67","-0.46%"
"2020年04月06日","109.20","108.43","109.39","108.35","0.69%"
"2020年04月03日","108.45","107.92","108.69","107.80","0.51%"
"2020年04月02日","107.90","107.17","108.11","107.01","0.70%"
"2020年04月01日","107.15","107.54","107.95","106.91","-0.35%"
"2020年03月31日","107.53","107.76","108.74","107.46","-0.26%"
"2020年03月30日","107.81","107.89","108.31","107.11","-0.07%"
"2020年03月27日","107.89","109.60","109.71","107.75","-1.54%"
"2020年03月26日","109.58","111.21","111.32","109.21","-1.45%"
"2020年03月25日","111.19","111.21","111.69","110.75","-0.02%"
"2020年03月24日","111.21","111.21","111.72","110.08","0.01%"
"2020年03月23日","111.20","111.04","111.61","109.67","0.36%"
"2020年03月20日","110.80","110.71","111.52","109.31","0.10%"
"2020年03月19日","110.69","108.07","110.96","107.85","2.43%"
"2020年03月18日","108.06","107.68","108.67","106.75","0.36%"
"2020年03月17日","107.67","105.86","107.87","105.86","1.72%"
"2020年03月16日","105.85","107.93","107.93","105.14","-1.91%"
"2020年03月13日","107.91","104.64","108.50","104.50","3.13%"
"2020年03月12日","104.63","104.57","106.10","103.10","0.10%"
"2020年03月11日","104.53","105.65","105.68","104.10","-1.04%"
"2020年03月10日","105.63","102.38","105.93","102.00","3.21%"
"2020年03月09日","102.34","104.90","104.93","101.18","-2.81%"
"2020年03月06日","105.30","106.17","106.36","104.99","-0.81%"
"2020年03月05日","106.16","107.54","107.75","105.97","-1.26%"
"2020年03月04日","107.52","107.13","107.69","106.85","0.37%"
"2020年03月03日","107.12","108.32","108.54","106.94","-1.09%"
"2020年03月02日","108.30","107.39","108.58","106.99","0.21%"
"2020年02月28日","108.07","109.60","109.69","107.50","-1.38%"
"2020年02月27日","109.58","110.43","110.46","109.57","-0.76%"
"2020年02月26日","110.42","110.21","110.71","110.13","0.22%"
"2020年02月25日","110.18","110.72","111.05","109.89","-0.48%"
"2020年02月24日","110.71","111.60","111.69","110.33","-0.77%"
"2020年02月21日","111.57","112.11","112.19","111.47","-0.48%"
"2020年02月20日","112.11","111.37","112.22","111.11","0.68%"
"2020年02月19日","111.35","109.87","111.60","109.85","1.36%"
"2020年02月18日","109.86","109.88","109.95","109.65","-0.02%"
"2020年02月17日","109.88","109.78","109.97","109.72","0.13%"
"2020年02月14日","109.74","109.82","109.91","109.69","-0.06%"
"2020年02月13日","109.81","110.11","110.11","109.61","-0.25%"
"2020年02月12日","110.08","109.79","110.14","109.77","0.28%"
"2020年02月11日","109.77","109.78","109.97","109.72","0.03%"
"2020年02月10日","109.74","109.85","109.88","109.56","0.02%"
"2020年02月07日","109.72","110.00","110.03","109.53","-0.25%"
"2020年02月06日","109.99","109.82","110.00","109.72","0.17%"
"2020年02月05日","109.80","109.53","109.86","109.30","0.26%"
"2020年02月04日","109.51","108.68","109.55","108.55","0.77%"
"2020年02月03日","108.67","108.41","108.81","108.32","0.27%"
"2020年01月31日","108.38","108.96","109.14","108.32","-0.52%"
"2020年01月30日","108.95","109.01","109.07","108.58","-0.04%"
"2020年01月29日","108.99","109.14","109.27","108.97","-0.13%"
"2020年01月28日","109.13","108.89","109.21","108.75","0.22%"
"2020年01月27日","108.89","109.05","109.14","108.73","-0.35%"
"2020年01月24日","109.27","109.50","109.66","109.17","-0.19%"
"2020年01月23日","109.48","109.84","109.87","109.26","-0.32%"
"2020年01月22日","109.83","109.86","110.10","109.82","-0.03%"
"2020年01月21日","109.86","110.18","110.22","109.76","-0.29%"
"2020年01月20日","110.18","110.15","110.22","110.04","0.04%"
"2020年01月17日","110.14","110.14","110.29","110.04","0.00%"
"2020年01月16日","110.14","109.89","110.19","109.85","0.24%"
"2020年01月15日","109.88","109.99","110.02","109.79","-0.08%"
"2020年01月14日","109.97","109.94","110.21","109.86","0.04%"
"2020年01月13日","109.93","109.49","109.95","109.44","0.43%"
"2020年01月10日","109.46","109.51","109.70","109.43","-0.05%"
"2020年01月09日","109.51","109.12","109.58","109.01","0.36%"
"2020年01月08日","109.12","108.42","109.25","107.64","0.65%"
"2020年01月07日","108.42","108.37","108.64","108.26","0.06%"
"2020年01月06日","108.36","108.00","108.51","107.76","0.26%"
"2020年01月03日","108.08","108.57","108.64","107.83","-0.45%"
"2020年01月02日","108.57","108.75","108.87","108.21","-0.12%"
"2020年01月01日","108.70","108.63","108.75","108.61","0.08%"
"2019年12月31日","108.61","108.88","108.89","108.47","-0.23%"
"2019年12月30日","108.86","109.47","109.51","108.75","-0.50%"
"2019年12月27日","109.41","109.60","109.64","109.39","-0.20%"
"2019年12月26日","109.63","109.35","109.69","109.32","0.26%"
"2019年12月25日","109.35","109.39","109.43","109.28","-0.04%"
"2019年12月24日","109.39","109.39","109.44","109.32","0.00%"
"2019年12月23日","109.39","109.40","109.54","109.33","-0.05%"
"2019年12月20日","109.44","109.36","109.53","109.25","0.06%"
"2019年12月19日","109.37","109.55","109.68","109.18","-0.15%"
"2019年12月18日","109.53","109.50","109.64","109.39","0.05%"
"2019年12月17日","109.47","109.54","109.64","109.44","-0.02%"
"2019年12月16日","109.49","109.38","109.68","109.25","0.12%"
"2019年12月13日","109.36","109.31","109.71","108.92","0.06%"
"2019年12月12日","109.29","108.56","109.45","108.46","0.69%"
"2019年12月11日","108.54","108.72","108.86","108.46","-0.15%"
"2019年12月10日","108.70","108.56","108.77","108.51","0.14%"
"2019年12月09日","108.55","108.68","108.68","108.43","-0.04%"
"2019年12月06日","108.59","108.76","108.92","108.52","-0.15%"
"2019年12月05日","108.75","108.86","109.00","108.65","-0.09%"
"2019年12月04日","108.85","108.64","108.97","108.43","0.21%"
"2019年12月03日","108.62","108.96","109.21","108.48","-0.33%"
"2019年12月02日","108.98","109.54","109.74","108.93","-0.48%"
"2019年11月29日","109.51","109.51","109.68","109.39","0.01%"
"2019年11月28日","109.50","109.54","109.58","109.33","-0.05%"
"2019年11月27日","109.55","109.04","109.61","109.00","0.48%"
"2019年11月26日","109.03","108.93","109.21","108.87","0.12%"
"2019年11月25日","108.90","108.71","108.98","108.64","0.24%"
"2019年11月22日","108.64","108.64","108.74","108.47","0.01%"
"2019年11月21日","108.63","108.61","108.71","108.28","0.03%"
"2019年11月20日","108.60","108.54","108.75","108.35","0.06%"
"2019年11月19日","108.53","108.68","108.86","108.45","-0.12%"
"2019年11月18日","108.66","108.82","109.07","108.51","-0.06%"
"2019年11月15日","108.73","108.40","108.86","108.37","0.31%"
"2019年11月14日","108.39","108.83","108.87","108.24","-0.39%"
"2019年11月13日","108.81","109.00","109.15","108.65","-0.17%"
"2019年11月12日","109.00","109.07","109.30","108.93","-0.04%"
"2019年11月11日","109.04","109.19","109.26","108.89","-0.21%"
"2019年11月08日","109.27","109.29","109.49","109.07","0.00%"
"2019年11月07日","109.27","108.97","109.49","108.65","0.28%"
"2019年11月06日","108.96","109.15","109.19","108.82","-0.17%"
"2019年11月05日","109.15","108.57","109.25","108.56","0.54%"
"2019年11月04日","108.56","108.18","108.65","108.18","0.36%"
"2019年11月01日","108.17","108.07","108.33","107.89","0.14%"
"2019年10月31日","108.02","108.83","108.90","107.93","-0.74%"
"2019年10月30日","108.83","108.89","109.29","108.71","-0.04%"
"2019年10月29日","108.87","108.96","109.07","108.76","-0.06%"
"2019年10月28日","108.94","108.67","109.04","108.65","0.28%"
"2019年10月25日","108.64","108.63","108.78","108.50","0.03%"
"2019年10月24日","108.61","108.68","108.76","108.50","-0.06%"
"2019年10月23日","108.68","108.49","108.71","108.25","0.19%"
"2019年10月22日","108.47","108.61","108.74","108.44","-0.11%"
"2019年10月21日","108.59","108.47","108.67","108.29","0.16%"
"2019年10月18日","108.42","108.67","108.74","108.39","-0.21%"
"2019年10月17日","108.65","108.76","108.94","108.46","-0.09%"
"2019年10月16日","108.75","108.86","108.88","108.57","-0.08%"
"2019年10月15日","108.84","108.43","108.90","108.15","0.42%"
"2019年10月14日","108.38","108.35","108.53","108.04","-0.02%"
"2019年10月11日","108.40","107.99","108.62","107.85","0.41%"
"2019年10月10日","107.96","107.47","108.02","107.03","0.47%"
"2019年10月09日","107.46","107.08","107.63","106.93","0.36%"
"2019年10月08日","107.07","107.29","107.45","106.81","-0.20%"
"2019年10月07日","107.28","106.97","107.46","106.57","0.33%"
"2019年10月04日","106.93","106.92","107.14","106.58","0.03%"
"2019年10月03日","106.90","107.18","107.31","106.48","-0.25%"
"2019年10月02日","107.17","107.74","107.90","107.04","-0.53%"
"2019年10月01日","107.74","108.08","108.47","107.63","-0.30%"
"2019年09月30日","108.06","107.92","108.18","107.74","0.13%"
"2019年09月27日","107.92","107.83","108.19","107.65","0.09%"
"2019年09月26日","107.82","107.78","107.96","107.43","0.06%"
"2019年09月25日","107.76","107.07","107.89","107.00","0.66%"
"2019年09月24日","107.05","107.54","107.79","106.96","-0.46%"
"2019年09月23日","107.54","107.53","107.78","107.31","-0.01%"
"2019年09月20日","107.55","108.01","108.09","107.53","-0.42%"
"2019年09月19日","108.00","108.46","108.47","107.79","-0.41%"
"2019年09月18日","108.44","108.13","108.48","108.08","0.30%"
"2019年09月17日","108.12","108.11","108.38","108.02","0.00%"
"2019年09月16日","108.12","107.65","108.17","107.47","0.05%"
"2019年09月13日","108.07","108.10","108.27","107.92","-0.02%"
"2019年09月12日","108.09","107.83","108.19","107.51","0.26%"
"2019年09月11日","107.81","107.54","107.86","107.50","0.26%"
"2019年09月10日","107.53","107.25","107.59","107.18","0.28%"
"2019年09月09日","107.23","106.82","107.28","106.76","0.31%"
"2019年09月06日","106.90","106.96","107.11","106.63","-0.02%"
"2019年09月05日","106.92","106.36","107.23","106.32","0.51%"
"2019年09月04日","106.38","105.93","106.44","105.83","0.43%"
"2019年09月03日","105.92","106.21","106.39","105.74","-0.27%"
"2019年09月02日","106.21","106.25","106.42","105.93","-0.08%"
"2019年08月30日","106.29","106.50","106.55","106.11","-0.20%"
"2019年08月29日","106.50","106.13","106.68","105.83","0.37%"
"2019年08月28日","106.11","105.75","106.23","105.65","0.37%"
"2019年08月27日","105.72","106.15","106.18","105.59","-0.38%"
"2019年08月26日","106.12","105.14","106.40","104.46","0.69%"
"2019年08月23日","105.39","106.43","106.75","105.25","-0.97%"
"2019年08月22日","106.42","106.61","106.65","106.25","-0.18%"
"2019年08月21日","106.61","106.22","106.65","106.22","0.37%"
"2019年08月20日","106.22","106.64","106.69","106.18","-0.38%"
